enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Judith Onyango,Borda,Female,No,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,No,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Flood damage the toilet and sink.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improve of hygiene ,Yes,The flood does not rich into her home since the canal has made around the area.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities Flood preparedness awareness,1,1,1,1,0,0,,"Access of clean water.
",Some time water is not working around  3 days., Improvement of hygiene and easy to get water.,Yes
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,60+ years (Elderly),"Other, Specify",Tailoring,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,No,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It has asinking effect during floods,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,1,0,0,,Yes,Improved hygiene techniques ,Yes,Due to lack of poor drainage system ,Store water/food ,,No,,Yes,Access to clean water points (Kiosks),1,0,0,0,0,0,,Clean water kioks ,Lack of enough and quality desilted canals,Access to clean water ,No
Wycliffe Osalo,Kagola West,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"During heavy rains, water gets into the pit causing alot of health related issues ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,1,0,,Yes,No serious case of waterborne diseases like cholera or typhoid ,Yes,Flooding still causes overflow from the nearby desilted canals. This water enters to our farms and destroys all the crops ,Use early warnings ,,No,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean water but not everyday because of distance ,"Distance from the kiosk is quite far, some of the desilted canals have been covered almost halfway by the silt. ",Trainings by CHV concerning hygiene and sanitation ,No
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Hygiene improvement,Yes,Crop damage,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Clean water,They are less.,Good health,No
Tom Akumu,Kabong'o,Male ,,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during heavy rain,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,0,1,0,,Yes,Drinking clean water,Yes,Some parts of my farms were flooded,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities,1,1,0,0,0,0,,Improved sanitation,Lack of enough hand washing materials,Knowing hand washing practices and how to treat water,No
Tom Ocharo,Kokech,Male ,,No,,18-35 years (Youth),Farming,,"20,001 and Above",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,20,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable during bad weather conditions,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Because of hygiene education,Yes,Desilting of canals and dyking have contributed quick water flow,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Desilting of canals and hygiene Education,"Water  extension pipe from the kiosk is still required, continuous practicing of hygiene is quite vital and frequent  desilting of canal",Reduced diseases because of improved hygiene,No
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,36-59 years (Adult),Salaried Employed,,"20,001 and Above",Yes,Rainwater Harvesting ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Improved hygiene skills ,Yes,Well desilted canals ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Desilted canals which has helped reduce floods ,Lack of flood  resilient latrine ,Desilted canals ,No
Andericus Oguma,Kaswa,Male ,,No,,18-35 years (Youth),Trade,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It collapsed during flood,No,Yes,,No,,,,,,1,1,1,0,0,0,,Yes,We know how to make our hands clean,Yes,Damage crops,Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,We have knowledge on how to protect ourselves from diseases,We lack more canals to protect our farms,Access to water kiosk,No
Wycliffe Osalo,Kagola West,Male ,,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water weakens it's structure then later breaks down,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We have installed hand washing containers for use during critical times.,Yes,"The position of my house is close to canal, once the canal is full the overflow affects me very much",Use early warnings ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Trainings from the CHVs about hygiene and sanitation,"Distance from the kiosk, lack of ready cash to buy soap at the required time for hand washing, regular desilting should be done",Trainings touching on hygiene and sanitation.,No
Wycliffe Osalo,Kagola West,Female,Yes,No,,60+ years (Elderly),Casual Labour,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Rain water gets into the pit causing damage to the entire structure ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Less cases of waterborne diseases like typhoid and cholera ,Yes,Overflow gets into my farm and destroy all the crops ,Use early warnings ,,Not sure,,Yes,"Improved sanitation facilities Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs) Access to clean water points (Kiosks) Hygiene education / training",1,1,1,1,1,0,,Access to clean water ,"The kiosk and pipeline is quite far making it difficult to access it at all times, irregular desilting of the canals ",Trainings done by our CHVs concerning health and wellbeing ,No
Andericus Oguma,Kaswa,Male ,,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood season,No,Yes,,Yes,Water only,0,0,0,0,0,1,1,0,0,0,,Yes,We wash our hands clean to prevent germs,Yes,It reduces crop priduction,Use early warnings ,,Yes,,Yes,"Access to clean water points (Kiosks) Hygiene education / training Active community committees (e.g., WRUAs / WPCs)",1,0,1,0,1,0,,Availability of water in our kiosk,Still need more canals,Access to clean water,No
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),Farming,,"20,001 and Above",Yes,Open wells in homesteads,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Very dangerous during bad weather,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,After hygiene training,Yes,Floods affected my farm located along River Nyando,Store water/food ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Improved hygiene training,"We urgently require  water kiosk, continuous hygiene training and desilting and dyking to be done to avoid floods",Improved sanitation,No
Wycliffe Osalo,Kagola West,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Rain water flows into the pit making the structure to be weak and later breaks down. ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"We have learned alot from the trainings done by the CHVs concerning hygiene and sanitation. 
Currently I have installed hand washing containers ",Not Sure,,Use early warnings ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Clean and safe water ,"Kiosk distance is quite far making it difficult to fetch water every day, frequent breakdowns of the hand washing equipment ",Access to clean and safe water ,No
Wycliffe Osalo,Kagola West,Female,No,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Excess rain water weakens the structure making it to break down after a short period of time ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We have installed hand washing containers ,Not Sure,,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water ,Kiosk distance is making it difficult to fetch water ,Hygiene and sanitation training done by CHVs secondly safe and clean water even if it's too far from my home ,No
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved hygiene ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Desilting of canals and improved hygiene ,"Less water kiosk, hygiene training and desilting of canals ",Reduced diseases ,No
Tom Ocharo,Kokech,Male ,,No,,36-59 years (Adult),Trade,,"20,001 and Above",Yes,Open wells in homesteads,,Yes,Yes,30,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks  during raining season ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,It has improved because of hygiene education ,No,,Store water/food ,,Yes,,Yes,Improved sanitation facilities Access to clean water points (Kiosks) Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene training ,"Less water kiosk, continuous hygiene training is required and frequent desilting ",Improved hygiene ,No
Elizabeth Anyango,Borda,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,Piped HFHK Water,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Access to water can easily put it near toilet to wash hands,Yes,Flood destroyed crops,Other,Distilled canals around farm,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Water and canals help me for farming,We are not getting all the time,Hygean is very high,No
Samuel Muga,Kogola East,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We are not affected by waterborne diseases as compared to before the training by CHVS,Not Sure,,Use Protect latrines ,,Not sure,,Yes,Improved sanitation facilities Hygiene education / training,0,1,1,0,0,0,,Improved sanitation facilities,"Kiosk distance is quite far, the cost of installation to my home is also high making it difficult for me to use this precious commodity",Highly reduced cases of urinary infections due to this beautiful latrine.,No
Elizabeth Anyango,Borda,Female,No,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Water flood and it sinks ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Reduces diseases brought by dirty water,Yes,Destroyed crops ,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Have improved hygiene system,Need more canals to reduce flood ,Access to Clean and soft water ,No
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,"Wen water gets into the pit, the entire structure break down ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,"General hygiene around the compound has improved, less cases of waterborne diseases ",Yes,"Rain water got into the house, weakened it's structure as well as the farms destroying my crops ",Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water ,"Unreliable supply of water due to bad weather which affects the performance of solar system, ",Less cases of waterborne diseases because of clean and safe water ,No
Tom Akumu,Kabong'o,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during heavy rain,No,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,0,1,0,,Yes,Using hand washing soap and washing fruits before eating,Yes,Some part of my were affected by heavy rain,Use early warnings ,,No,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Hygiene education and training,We should have more permanent toilets,Improved hygiene,Not Sure
Tom Ocharo,Kokech,Female,No,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,Open wells in homesteads,,Yes,Yes,30,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improved cleanliness in the environment,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improved hygiene,"Long Distance from my home to water Kiosk , perpetual training and frequent desilting",Improved hygiene,No
Samuel Muga,Kogola East,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It breaks down during heavy rains. Water infiltrate into the pit ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,I have installed a hand washing containers next to my pit latrine. Minimised chance of germs spreading ,Yes,Heavy rains flow into the farm and destroy crops ,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean water ,The distance from the kiosks is still a challenge. With my age I may not walk upto the kiosk to fetch water. ,Less cases of waterborne diseases just because of this clean water ,No
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,60+ years (Elderly),Farming,,"20,001 and Above",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Its sinks during rainy seasons ,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,Improved hygiene skills  eg washing hands regularly ,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Education on hygiene practices ,Lack of enough water kioks,Desilted canals and clean water kioks,No
Elizabeth Anyango,Borda,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood season,No,Yes,,No,,,,,,0,1,1,0,0,0,,Yes,Because water is available for washing hand,Yes,Destroyed crops,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Flood preparedness awareness,1,0,0,1,0,0,,Access to water,Still need more canals,Have soft water for washing clothes,No
