enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,water_l_per_day,kiosk_use_frequency,time_fetch_before,time_fetch_now,time_change,time_change_reasons,time_reason_closer,time_reason_shorter_queue,time_reason_reduced_cost,time_reason_improved_quality,time_reason_other,time_reason_other_specify,women_less_time_fetch,women_time_for ,women_time_income,women_time_childcare,women_time_school,women_time_chores,women_time_rest,women_time_other,women_time_other_specify,income_increased,income_increase_where,income_increase_farming,income_increase_small businesses ,income_increase_maintenance_jobs ,income_increase_education ,income_increase_health ,income_increase_livestock ,income_increase_other,income_increase_other_specify,water_quality_change,borehole_functional,borehole_functional_reason,borehole_breakdowns,breakdown_frequency,committees_meeting,reduced_conflicts,reduced_conflicts_describe,10. Who is currently responsible for repairs and maintenance of:,repairs_water,repairs_latrines,repairs_canals,user_fees_effective,community_sustain_without_support,hfkh_latrine_use,latrine_satisfaction,latrine_functional_during_flood,latrine_issue_text,hfkh_latrine_use_frequency,girls_comfortable_using_latrine_night,women_latrine_use_night_and_floods,rare_latrine_use_night_and_floods_desc,place_to_wash_hands,water_available_at_hws,soap_available_today,when_wash_hands,when_wash_hands_after_defecation,when_wash_hands_after_handling child_adultfeces,when_wash_hands_after_cleaning_environment,when_wash_hands_before_preparing_food,when_wash_hands_before_eating_food,5. How often do you wash your hands at the following times? ,after_defecation_handwash_often,before_eating__handwash_often,before_preparing_food_handwash_often,after_cleaning_environment_handwash_often,after_handling child_adult feces_handwash_often,phast_training,who_attended,who_attended_adult_women,who_attended_adult_men,who_attended_children,who_attended_youth,who_attended_other,Other,practices_started,practices_started_wash_with_soap_after_defecation,practices_started_wash_with_soap_before_eating,practices_built_improved_latrine,practices_treat_drinking_water,practices_store_water_safe,practices_use_squat_hole_cover,practices_keep_latrine_clean,practices_handwashing_station,practices_safe_child_feces,practices_other,Other (please specify),hygiene_training_reduced_illness,hygiene_change_desc,why_training_has_no_impact,any_water_related_illnesses_still_experienced,which_illness,still_using_practices,no_explain_why,some_explain_why,diarrhea_past_2wks,feel_safer_accessing,flood_prep_actions_stored_water,flood_prep_actions_raised_belongings,flood_prep_actions_raise_latrine,flood_prep_actions_dug_cleared,flood_prep_actions_dug_cleared,flood_prep_actions_evac_plan,flood_prep_actions_planted_trees,flood_prep_actions_none,flood_prep_actions_other,Other Specify ,aware_canal_desilting,participated_awareness_sessions,2a. Did youth (15-35 years) participate in the following project activities?,youth_participation_training,youth_participation_canal_work,youth_participation_committees,youth_participation_construction,2b. Where in this project has skills or leadership roles for youth been created (Jobs),youth_jobs_roles_water_committee,youth_jobs_maintenance,youth_jobs_hygiene_trainers,youth_jobs_none,youth_jobs_not_sure,usefulness_awareness_sessions,canal_works_helped_reduce_flooding,community_committee_maintains_canals ,community_committee_still_active ,household_member participated_canal_maintenance,have_desilted_canals_and_embankments_reduced_flooding,effective_desilted_canals_and_embankments_reducing_floods,household_prepared_for_seasonal_flooding,canal_buffers_surviving_improved_environment,canal_trees_helped_how,reliable_water_help_income,,,home_affected_by_flood_last_year,what_kind_of_damage,flood_damage_property,flood_damage_crop_loss,flood_damage_contamination,flood_damage_latrine_collapse,flood_damage_other,flood_damage_other_specify,what_to_do_before_flood,flood_pre_warnings_received,flood_warning_from,flood_warning_from_canal_committee,flood_warning_from_village_head,flood_warning_from_government_official,flood_warning_from_sms_radio,flood_warning_from_other,village_better_protected,flood_warning_from_other_specify,distance_in_meters
Mollet Atieno,Kokech,Male ,,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues Improved quality  Reduced cost,1,1,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Unity among the community members have improved,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Hand washing has reduced fecal oral diseases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Yes,Canal Committee Village Head,1,1,0,0,0,Much better protected,,694.95
Janet Wesonga,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Education   Health  Livestock ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queue,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Youth,0,0,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,1,1,1,1,0,,Yes,Good health.,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Store enough food.,Yes,Canal Committee Government official SMS/radio,1,0,1,1,0,Somewhat better protected,,392.56
Samuel Muga,Kogola East,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,3–6 times/week ,<30 min ,30–60 min ,More,Improved quality  Other,0,0,0,1,1,"Before the project I used a shallow wells at home, but now I have to walk over distance because of the best quality of the project water.",Not Sure,,,,,,,,,Yes,Small businesses  Farming/fishing yields ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queues because each village has it's own kiosk ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,0,1,1,1,0,,Yes,The spread of germs have significantly reduced because we follow hygiene rules taught by our CHVs ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,Somewhat,Not sure,,No, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Somewhat better protected,,483.8
Eveline Adhiambo Otieno ,Kagola West,Male ,,No,,18-35 years (Youth),Trade,,"10,001 - 20,000",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  School attendance (especially girls)  Household chores ,1,0,1,1,0,0,,No,Other,0,0,0,0,0,0,1,The project has not increased any income i cant access Water from kiok,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Reduced long queues ,,Water Committee,Water Committee,Water Committee,Yes,Not sure,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food,1,0,1,0,1,,Often,Often,Often,Often,Often,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Not Sure,Yes,Maintenance jobs ,0,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,No, Somewhat ,Somewhat effective,No,Better flood control ,Less erosion ,No effect,,,No,,,,,,,,,Yes,SMS/radio,0,0,0,1,0,Somewhat better protected,,409.71
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,20–50 litres ,Rarely,<30 min ,<30 min,Same,,,,,,,,Yes,Income generating activities  School attendance (especially girls) ,1,0,1,0,0,0,,Yes,Education   Health ,0,0,0,1,1,0,0,,No change ,Yes,,No,,Yes,Yes,Those who are access to water get water frequently,,Water Committee,Water Committee,Water Committee, Not applicable,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After cleaning the environment After handling child/adult feces or cleaning child's bottom,1,1,1,0,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth,1,1,0,1,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination)",1,0,0,1,0,0,0,0,0,0,,Yes,Water treatment has reduced cholera,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals,1,0,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Better flood control ,Less erosion ,Fewer workdays lost ,,,Yes,Latrine collapse,0,0,0,1,0,,Construct a all weathered toilets,Yes,Canal Committee Government official SMS/radio,1,0,1,1,0,Somewhat better protected,,354.38
Tom Ocharo,Kokech,Female,Yes,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None ,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,Desilting of canals make water flows faster ,,Water Committee,Don't know,County Government,Don’t know,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Children Youth,1,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,0,1,1,0,1,0,1,0,,Yes,Rare hospital visitation ,,No,,Yes,,,No,No change ,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,Yes,,No,No,Yes,No,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Damaged,No change,No effect,,,No,,,,,,,,,Yes,Village Head Government official SMS/radio,0,1,1,1,0,Much better protected,,513.73
Judith Onyango,Borda,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,20–50 litres ,Daily,>1 hour,<30 min,Less,Reduced cost Shorter queues,0,1,1,0,0,,Yes,Childcare  School attendance (especially girls)  Household chores  Rest/Leisure  Income generating activities ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Education   Health  Livestock ,1,1,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Sometime when she go to neighbours house to fetch water  she can come back without water because she does not pay  money.,,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom Before preparing food Before eating food After cleaning the environment,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Children Youth Adult women,1,0,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces Keep latrine and surrounding area clean",1,1,1,1,1,0,1,1,1,0,,Yes,Because past they did not anything about hygiene but know they practice hygiene very well  and casess of diarrhea reduce ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan,1,1,1,1,1,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Dig the canal around the house.,Yes,SMS/radio Government official Village Head,0,1,1,1,0,Somewhat better protected,,106.6
Andericus Oguma,Kagola West,Male ,,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Rarely,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Childcare  Income generating activities  Rest/Leisure ,1,1,0,0,1,0,,Yes,Farming/fishing yields  Livestock ,1,0,0,0,0,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,No,Yes,Water come out faster and reduced queue,,Water Committee,Water Committee,Water Committee,Don’t know,No,No,,,,,, Rarely ,Women fear at night,Yes,Yes,Yes,Before preparing food Before eating food,0,0,0,1,1,,Often,Often,Often,Often,Often,No,,,,,,,,,,,,,,,,,,,,,,,Yes,Pneumonia,,,,Yes,Much safer,Dug or cleared drainage/canals Planted trees along canals Stored food/water in advance,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Maintenance jobs  Water committee roles ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Don't know ,No,"Yes, significantly ",Very Effective,Yes,Less erosion ,More shade/food ,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,Dig canals along our farms,Yes,SMS/radio Government official,0,0,1,1,0,Much better protected,,244.86
Mollet Atieno,Kokech,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Has brought unity among the members,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Zero reported cases ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,No,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Yes,Canal Committee Village Head,1,1,0,0,0,Much better protected,,570.62
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,>100 litres,Rarely,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,"Each village has it's own kiosk, meaning less overcrowding and short queues. ",,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces Store water safely in clean, covered containers",1,1,0,1,1,0,1,1,1,0,,Yes,Less cases of waterborne diseases like diarrhea and typhoid. Skin diseases have also been reduced significantly because of hand washing routine ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,"Raise all the food items and valuables above the ground, create some small canals around the home for easy flow of water ",Not sure,,,,,,,Somewhat better protected,,291.41
Janet Wesonga,Kabong'o,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields   Health  Livestock  Education ,1,0,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Shorter distance. ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat",1,1,0,1,1,1,0,0,0,0,,Yes,Good health..,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Store enough food. ,Yes,Canal Committee SMS/radio,1,0,0,1,0,Somewhat better protected,,516.83
Mollet Atieno,Kokech,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Has united the community,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Since the project ni reported cholera cases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Latrine collapse,1,1,0,1,0,,Store enough food for the future,Yes,Canal Committee Village Head,1,1,0,0,0,Much better protected,,401.76
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,20–50 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,No,Paid maintenance jobs ,0,0,1,0,0,0,0,,No change ,Yes,,No,,Yes,No,,,Water Committee,Water Committee,Water Committee,Don’t know,Not sure,No,,,,,, Rarely ,"It is not safe at night,it can be flooded any time ",Yes,Yes,Yes,After defecation After cleaning the environment Before eating food,1,0,1,0,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men,1,1,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination)",1,1,0,1,0,0,0,0,0,0,,Yes,Drinking treated water ,,No,,Yes,,,No,No change ,Planted trees along canals Dug or cleared drainage/canals,0,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Maintenance jobs ,0,1,0,0,0,Somewhat usefu,Not sure,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Damaged,No change,No effect,,,Yes,Latrine collapse,0,0,0,1,0,,Construct a stable toilet ,Not sure,,,,,,,Somewhat better protected,,570.48
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,36-59 years (Adult),Trade,,"20,001 and Above",Yes,51–100 litres ,Never,<30 min ,<30 min,Same,,,,,,,,Not Sure,,,,,,,,,No,Other,0,0,0,0,0,0,1,None because i dont use  the water,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Don't know ,Yes,Reduced long distance ,,Water Committee,Water Committee,Water Committee,Don’t know,Only with partial support,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After cleaning the environment Before preparing food Before eating food,1,0,1,1,1,,Often,Often,Often,Often,Often,No,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,Much less safe ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,No,,,Not Sure,Not Sure,Not Sure,Yes,Maintenance jobs ,0,1,0,0,0,,,,,,,,No,Less erosion ,Better drainage ,Farming/fishing improved ,,,No,,,,,,,,,No,,,,,,,Somewhat better protected,,498.28
